1,500.00,2023-06-10,2023-06-11,1,1
2,750.00,2023-06-15,2023-06-16,2,2
3,300.00,2023-06-20,2023-06-21,3,3
4,600.00,2023-06-25,2023-06-26,4,4
5,400.00,2023-07-01,2023-07-02,5,5
6,550.00,2023-07-06,2023-07-07,6,6
7,700.00,2023-07-11,2023-07-12,7,7
8,450.00,2023-07-16,2023-07-17,8,8
9,350.00,2023-07-21,2023-07-22,9,9
10,800.00,2023-07-26,2023-07-27,10,10
11,250.00,2023-08-01,2023-08-02,11,11
12,950.00,2023-08-06,2023-08-07,12,12
13,500.00,2023-08-11,2023-08-12,13,13
14,650.00,2023-08-16,2023-08-17,14,14
15,300.00,2023-08-21,2023-08-22,15,15
16,400.00,2023-08-26,2023-08-27,16,16
17,750.00,2023-09-01,2023-09-02,17,17
18,550.00,2023-09-06,2023-09-07,18,18
19,650.00,2023-09-11,2023-09-12,19,19
20,300.00,2023-09-16,2023-09-17,20,20
21,400.00,2023-09-21,2023-09-22,21,21
22,800.00,2023-09-26,2023-09-27,22,22
23,950.00,2023-10-01,2023-10-02,23,23
24,500.00,2023-10-06,2023-10-07,24,24
25,750.00,2023-10-11,2023-10-12,25,25
26,550.00,2023-10-16,2023-10-17,26,26
27,650.00,2023-10-21,2023-10-22,27,27
28,300.00,2023-10-26,2023-10-27,28,28
29,400.00,2023-11-01,2023-11-02,29,29
30,800.00,2023-11-06,2023-11-07,30,30
31,250.00,2023-11-11,2023-11-12,31,31
32,950.00,2023-11-16,2023-11-17,32,32
33,500.00,2023-11-21,2023-11-22,33,33
34,650.00,2023-11-26,2023-11-27,34,34
35,300.00,2023-12-01,2023-12-02,35,35
36,400.00,2023-12-06,2023-12-07,36,36
37,750.00,2023-12-11,2023-12-12,37,37
38,550.00,2023-12-16,2023-12-17,38,38
39,650.00,2023-12-21,2023-12-22,39,39
40,300.00,2023-12-26,2023-12-27,40,40
